Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-04-05,USD,0,10000,0,0
2026-04-05,USD,10000,,3.140,-0.5
2026-04-05,AED,0,35000,0,0
2026-04-05,AED,35000,,2.880,-0.75
2026-04-05,AUD,0,15000,0,0
2026-04-05,AUD,15000,150000,3.846,-0.5
2026-04-05,AUD,150000,,4.096,-0.25
2026-04-05,CAD,0,13000,0,0
2026-04-05,CAD,13000,,1.522,-0.5
2026-04-05,CHF,0,100000,0,0
2026-04-05,CHF,100000,,-0.576,-0.25
2026-04-05,CNH,0,70000,0,0
2026-04-05,CNH,70000,,0.50,0
2026-04-05,CZK,0,250000,0,0
2026-04-05,CZK,250000,,1.355,-2
2026-04-05,DKK,0,75000,0,0
2026-04-05,DKK,75000,,1.114,-0.5
2026-04-05,EUR,0,10000,0,0
2026-04-05,EUR,10000,,1.486,-0.5
2026-04-05,GBP,0,8000,0,0
2026-04-05,GBP,8000,,3.401,-0.5
2026-04-05,HKD,0,78000,0,0
2026-04-05,HKD,78000,,0.890,-0.75
2026-04-05,HUF,0,3500000,0,0
2026-04-05,HUF,3500000,,2.928,-3
2026-04-05,ILS,,,0,0
2026-04-05,INR,,,0,0
2026-04-05,JPY,0,5000000,0,0
2026-04-05,JPY,5000000,,0.382,-0.25
2026-04-05,KRW,0,12000000,0,0
2026-04-05,KRW,12000000,,1.000,-1.5
2026-04-05,MXN,0,200000,0,0
2026-04-05,MXN,200000,,2.489,-4
2026-04-05,NOK,0,100000,0,0
2026-04-05,NOK,100000,,1.850,-2
2026-04-05,NZD,0,15000,0,0
2026-04-05,NZD,15000,,0.000,-2.5
2026-04-05,PLN,0,400000,0,0
2026-04-05,PLN,400000,,1.682,-2
2026-04-05,RON,0,50000,0,0
2026-04-05,RON,50000,,3.107,-2
2026-04-05,RUB,,,0,0
2026-04-05,SAR,0,35000,0,0
2026-04-05,SAR,35000,,2.577,-0.75
2026-04-05,SEK,0,110000,0,0
2026-04-05,SEK,110000,,1.241,-0.5
2026-04-05,SGD,0,14000,0,0
2026-04-05,SGD,14000,,0.059,-1
2026-04-05,TRY,0,250000,0,0
2026-04-05,TRY,250000,,5,0
2026-04-05,ZAR,0,150000,0,0
2026-04-05,ZAR,150000,,5.532,-1
