Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-04-27,USD,0,100000,5.140,1.5
2026-04-27,USD,100000,1000000,4.640,1
2026-04-27,USD,1000000,50000000,4.390,0.75
2026-04-27,USD,50000000,250000000,4.140,0.5
2026-04-27,USD,250000000,,4.140,0.5
2026-04-27,AED,0,350000,6.127,2.5
2026-04-27,AED,350000,3500000,5.627,2
2026-04-27,AED,3500000,350000000,5.127,1.5
2026-04-27,AED,350000000,,5.127,1.5
2026-04-27,AUD,0,150000,5.611,1.5
2026-04-27,AUD,150000,1500000,5.111,1
2026-04-27,AUD,1500000,75000000,4.861,0.75
2026-04-27,AUD,75000000,300000000,4.611,0.5
2026-04-27,AUD,300000000,,4.611,0.5
2026-04-27,CAD,0,130000,3.760,1.5
2026-04-27,CAD,130000,1300000,3.260,1
2026-04-27,CAD,1300000,64000000,3.010,0.75
2026-04-27,CAD,64000000,260000000,2.760,0.5
2026-04-27,CAD,260000000,,2.760,0.5
2026-04-27,CHF,0,90000,1.500,1.5
2026-04-27,CHF,90000,900000,1.000,1
2026-04-27,CHF,900000,46000000,0.750,0.75
2026-04-27,CHF,46000000,180000000,0.75,0.5
2026-04-27,CHF,180000000,,0.75,0.5
2026-04-27,CNH,0,700000,5.117,4
2026-04-27,CNH,700000,7000000,4.117,3
2026-04-27,CNH,7000000,350000000,3.617,2.5
2026-04-27,CNH,350000000,,3.117,2
2026-04-27,CZK,0,400000000,6.292,3
2026-04-27,CZK,400000000,,6.292,3
2026-04-27,DKK,0,120000000,4.515,3
2026-04-27,DKK,120000000,,4.515,3
2026-04-27,EUR,0,90000,3.455,1.5
2026-04-27,EUR,90000,900000,2.955,1
2026-04-27,EUR,900000,44000000,2.705,0.75
2026-04-27,EUR,44000000,180000000,2.455,0.5
2026-04-27,EUR,180000000,,2.455,0.5
2026-04-27,GBP,0,80000,5.219,1.5
2026-04-27,GBP,80000,800000,4.719,1
2026-04-27,GBP,800000,38000000,4.469,0.75
2026-04-27,GBP,38000000,150000000,4.219,0.5
2026-04-27,GBP,150000000,,4.219,0.5
2026-04-27,HKD,0,780000,4.884,2.5
2026-04-27,HKD,780000,7800000,4.384,2
2026-04-27,HKD,7800000,780000000,3.884,1.5
2026-04-27,HKD,780000000,,3.884,1.5
2026-04-27,HUF,0,4500000000,10.495,5
2026-04-27,HUF,4500000000,,10.495,5
2026-04-27,ILS,0,80000000,8.992,5
2026-04-27,ILS,80000000,,8.992,5
2026-04-27,INR,,,8.290,3
2026-04-27,JPY,0,11000000,2.156,1.5
2026-04-27,JPY,11000000,114000000,1.656,1
2026-04-27,JPY,114000000,5700000000,1.406,0.75
2026-04-27,JPY,5700000000,23000000000,1.156,0.5
2026-04-27,JPY,23000000000,,1.156,0.5
2026-04-27,KRW,0,120000000,4.500,2
2026-04-27,KRW,120000000,1200000000,4.000,1.5
2026-04-27,KRW,1200000000,24000000000,3.500,1
2026-04-27,KRW,24000000000,,3.500,1
2026-04-27,MXN,0,2000000,9.725,3
2026-04-27,MXN,2000000,20000000,8.725,2
2026-04-27,MXN,20000000,2000000000,8.225,1.5
2026-04-27,MXN,2000000000,,8.225,1.5
2026-04-27,NOK,0,900000,5.441,1.5
2026-04-27,NOK,900000,9000000,4.941,1
2026-04-27,NOK,9000000,450000000,4.691,0.75
2026-04-27,NOK,450000000,1800000000,4.441,0.5
2026-04-27,NOK,1800000000,,4.441,0.5
2026-04-27,NZD,0,150000,3.713,1.5
2026-04-27,NZD,150000,1500000,3.213,1
2026-04-27,NZD,1500000,150000000,2.963,0.75
2026-04-27,NZD,150000000,,2.963,0.75
2026-04-27,PLN,0,70000000,6.716,3
2026-04-27,PLN,70000000,,6.716,3
2026-04-27,RON,,,8.248,3
2026-04-27,RUB*,0,660000000,19.440,5
2026-04-27,RUB*,660000000,,19.440,5
2026-04-27,SAR,0,350000,6.835,2.5
2026-04-27,SAR,350000,3500000,6.335,2
2026-04-27,SAR,3500000,350000000,5.835,1.5
2026-04-27,SAR,350000000,,5.835,1.5
2026-04-27,SEK,0,900000,3.222,1.5
2026-04-27,SEK,900000,9100000,2.722,1
2026-04-27,SEK,9100000,454000000,2.472,0.75
2026-04-27,SEK,454000000,1820000000,2.222,0.5
2026-04-27,SEK,1820000000,,2.222,0.5
2026-04-27,SGD,0,140000,2.620,1.5
2026-04-27,SGD,140000,1400000,2.120,1
2026-04-27,SGD,1400000,68000000,1.870,0.75
2026-04-27,SGD,68000000,270000000,1.620,0.5
2026-04-27,SGD,270000000,,1.620,0.5
2026-04-27,TRY,0,250000000,34.584,5
2026-04-27,TRY,250000000,,34.584,5
2026-04-27,ZAR,0,1500000,7.360,1.5
2026-04-27,ZAR,1500000,15000000,6.860,1
2026-04-27,ZAR,15000000,1500000000,6.610,0.75
2026-04-27,ZAR,1500000000,,6.610,0.75
