Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-04-07,USD,0,100000,5.140,1.5
2026-04-07,USD,100000,1000000,4.640,1
2026-04-07,USD,1000000,50000000,4.390,0.75
2026-04-07,USD,50000000,250000000,4.140,0.5
2026-04-07,USD,250000000,,4.140,0.5
2026-04-07,AED,0,350000,6.269,2.5
2026-04-07,AED,350000,3500000,5.769,2
2026-04-07,AED,3500000,350000000,5.269,1.5
2026-04-07,AED,350000000,,5.269,1.5
2026-04-07,AUD,0,150000,5.704,1.5
2026-04-07,AUD,150000,1500000,5.204,1
2026-04-07,AUD,1500000,75000000,4.954,0.75
2026-04-07,AUD,75000000,300000000,4.704,0.5
2026-04-07,AUD,300000000,,4.704,0.5
2026-04-07,CAD,0,130000,3.602,1.5
2026-04-07,CAD,130000,1300000,3.102,1
2026-04-07,CAD,1300000,64000000,2.852,0.75
2026-04-07,CAD,64000000,260000000,2.602,0.5
2026-04-07,CAD,260000000,,2.602,0.5
2026-04-07,CHF,0,90000,1.500,1.5
2026-04-07,CHF,90000,900000,1.000,1
2026-04-07,CHF,900000,46000000,0.750,0.75
2026-04-07,CHF,46000000,180000000,0.75,0.5
2026-04-07,CHF,180000000,,0.75,0.5
2026-04-07,CNH,0,700000,4.780,4
2026-04-07,CNH,700000,7000000,3.780,3
2026-04-07,CNH,7000000,350000000,3.280,2.5
2026-04-07,CNH,350000000,,2.780,2
2026-04-07,CZK,0,400000000,6.375,3
2026-04-07,CZK,400000000,,6.375,3
2026-04-07,DKK,0,120000000,4.614,3
2026-04-07,DKK,120000000,,4.614,3
2026-04-07,EUR,0,90000,3.486,1.5
2026-04-07,EUR,90000,900000,2.986,1
2026-04-07,EUR,900000,44000000,2.736,0.75
2026-04-07,EUR,44000000,180000000,2.486,0.5
2026-04-07,EUR,180000000,,2.486,0.5
2026-04-07,GBP,0,80000,5.305,1.5
2026-04-07,GBP,80000,800000,4.805,1
2026-04-07,GBP,800000,38000000,4.555,0.75
2026-04-07,GBP,38000000,150000000,4.305,0.5
2026-04-07,GBP,150000000,,4.305,0.5
2026-04-07,HKD,0,780000,4.179,2.5
2026-04-07,HKD,780000,7800000,3.679,2
2026-04-07,HKD,7800000,780000000,3.179,1.5
2026-04-07,HKD,780000000,,3.179,1.5
2026-04-07,HUF,0,4500000000,10.905,5
2026-04-07,HUF,4500000000,,10.905,5
2026-04-07,ILS,0,80000000,8.000,5
2026-04-07,ILS,80000000,,8.000,5
2026-04-07,INR,,,8.240,3
2026-04-07,JPY,0,11000000,2.155,1.5
2026-04-07,JPY,11000000,114000000,1.655,1
2026-04-07,JPY,114000000,5700000000,1.405,0.75
2026-04-07,JPY,5700000000,23000000000,1.155,0.5
2026-04-07,JPY,23000000000,,1.155,0.5
2026-04-07,KRW,0,120000000,4.500,2
2026-04-07,KRW,120000000,1200000000,4.000,1.5
2026-04-07,KRW,1200000000,24000000000,3.500,1
2026-04-07,KRW,24000000000,,3.500,1
2026-04-07,MXN,0,2000000,9.489,3
2026-04-07,MXN,2000000,20000000,8.489,2
2026-04-07,MXN,20000000,2000000000,7.989,1.5
2026-04-07,MXN,2000000000,,7.989,1.5
2026-04-07,NOK,0,900000,5.350,1.5
2026-04-07,NOK,900000,9000000,4.850,1
2026-04-07,NOK,9000000,450000000,4.600,0.75
2026-04-07,NOK,450000000,1800000000,4.350,0.5
2026-04-07,NOK,1800000000,,4.350,0.5
2026-04-07,NZD,0,150000,4.061,1.5
2026-04-07,NZD,150000,1500000,3.561,1
2026-04-07,NZD,1500000,150000000,3.311,0.75
2026-04-07,NZD,150000000,,3.311,0.75
2026-04-07,PLN,0,70000000,6.810,3
2026-04-07,PLN,70000000,,6.810,3
2026-04-07,RON,,,8.326,3
2026-04-07,RUB*,0,660000000,19.920,5
2026-04-07,RUB*,660000000,,19.920,5
2026-04-07,SAR,0,350000,6.130,2.5
2026-04-07,SAR,350000,3500000,5.630,2
2026-04-07,SAR,3500000,350000000,5.130,1.5
2026-04-07,SAR,350000000,,5.130,1.5
2026-04-07,SEK,0,900000,3.241,1.5
2026-04-07,SEK,900000,9100000,2.741,1
2026-04-07,SEK,9100000,454000000,2.491,0.75
2026-04-07,SEK,454000000,1820000000,2.241,0.5
2026-04-07,SEK,1820000000,,2.241,0.5
2026-04-07,SGD,0,140000,2.584,1.5
2026-04-07,SGD,140000,1400000,2.084,1
2026-04-07,SGD,1400000,68000000,1.834,0.75
2026-04-07,SGD,68000000,270000000,1.584,0.5
2026-04-07,SGD,270000000,,1.584,0.5
2026-04-07,TRY,0,250000000,43.572,5
2026-04-07,TRY,250000000,,43.572,5
2026-04-07,ZAR,0,1500000,8.091,1.5
2026-04-07,ZAR,1500000,15000000,7.591,1
2026-04-07,ZAR,15000000,1500000000,7.341,0.75
2026-04-07,ZAR,1500000000,,7.341,0.75
