Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-04-17,USD,0,10000,0,0
2026-04-17,USD,10000,,3.140,-0.5
2026-04-17,AED,0,35000,0,0
2026-04-17,AED,35000,,2.856,-0.75
2026-04-17,AUD,0,15000,0,0
2026-04-17,AUD,15000,150000,3.725,-0.5
2026-04-17,AUD,150000,,3.975,-0.25
2026-04-17,CAD,0,13000,0,0
2026-04-17,CAD,13000,,1.629,-0.5
2026-04-17,CHF,0,100000,0,0
2026-04-17,CHF,100000,,-0.374,-0.25
2026-04-17,CNH,0,70000,0,0
2026-04-17,CNH,70000,,0.50,0
2026-04-17,CZK,0,250000,0,0
2026-04-17,CZK,250000,,1.299,-2
2026-04-17,DKK,0,75000,0,0
2026-04-17,DKK,75000,,0.970,-0.5
2026-04-17,EUR,0,10000,0,0
2026-04-17,EUR,10000,,1.427,-0.5
2026-04-17,GBP,0,8000,0,0
2026-04-17,GBP,8000,,3.194,-0.5
2026-04-17,HKD,0,78000,0,0
2026-04-17,HKD,78000,,1.654,-0.75
2026-04-17,HUF,0,3500000,0,0
2026-04-17,HUF,3500000,,2.737,-3
2026-04-17,ILS,,,0,0
2026-04-17,INR,,,0,0
2026-04-17,JPY,0,5000000,0,0
2026-04-17,JPY,5000000,,0.321,-0.25
2026-04-17,KRW,0,12000000,0,0
2026-04-17,KRW,12000000,,1.000,-1.5
2026-04-17,MXN,0,200000,0,0
2026-04-17,MXN,200000,,2.692,-4
2026-04-17,NOK,0,100000,0,0
2026-04-17,NOK,100000,,1.937,-2
2026-04-17,NZD,0,15000,0,0
2026-04-17,NZD,15000,,0.000,-2.5
2026-04-17,PLN,0,400000,0,0
2026-04-17,PLN,400000,,1.640,-2
2026-04-17,RON,0,50000,0,0
2026-04-17,RON,50000,,3.046,-2
2026-04-17,RUB,,,0,0
2026-04-17,SAR,0,35000,0,0
2026-04-17,SAR,35000,,3.108,-0.75
2026-04-17,SEK,0,110000,0,0
2026-04-17,SEK,110000,,1.069,-0.5
2026-04-17,SGD,0,14000,0,0
2026-04-17,SGD,14000,,0.073,-1
2026-04-17,TRY,0,250000,0,0
2026-04-17,TRY,250000,,5,0
2026-04-17,ZAR,0,150000,0,0
2026-04-17,ZAR,150000,,5.111,-1
